room_type,lead_time,length_of_stay,num_guests,is_weekend,season,previous_cancellations,special_requests,price,is_cancelled
Double,42,13,2,0,mid,0,4,29279.0,1
Single,0,14,3,1,high,1,0,37717.0,1
Single,72,2,4,1,low,0,2,3859.0,0
Single,53,6,2,1,high,0,3,13841.0,0
Suite,104,8,1,1,low,0,2,52097.0,0
Deluxe,40,11,1,1,mid,0,4,49137.0,1
Deluxe,24,14,3,1,low,1,5,55880.0,0
Double,20,6,4,1,low,0,3,17952.0,0
Deluxe,24,11,3,1,low,2,0,40920.0,1
Single,54,14,3,0,mid,0,2,21826.0,1
Suite,10,12,2,0,low,1,1,70405.0,0
Deluxe,48,5,2,0,mid,0,2,19361.0,0
Suite,103,12,1,1,high,3,1,110469.0,1
Single,92,6,2,1,low,0,0,9299.0,1
Double,77,1,3,1,low,0,1,2792.0,1
Deluxe,108,11,4,0,low,2,2,44059.0,1
Double,94,12,4,0,low,1,0,28579.0,1
Double,78,5,4,0,mid,0,0,14922.0,0
Single,104,7,1,1,mid,0,1,11254.0,1
Double,15,6,4,1,low,0,3,17525.0,1
Single,99,2,1,0,low,2,3,2626.0,1
Double,35,14,3,1,mid,0,2,41705.0,1
Deluxe,88,1,4,0,low,0,3,4127.0,0
Deluxe,110,8,4,1,mid,0,1,45068.0,1
Deluxe,60,1,3,1,high,4,4,7440.0,1
Double,10,10,2,0,low,0,0,21287.0,0
Suite,44,13,3,1,mid,0,0,107317.0,0
Single,49,10,3,1,high,3,5,25197.0,0
Double,113,9,3,1,mid,0,2,25085.0,1
Single,114,12,2,0,high,1,3,23639.0,0
Double,68,14,2,0,high,1,2,48037.0,1
Suite,115,13,3,0,mid,0,3,93915.0,1
Double,52,4,1,0,mid,1,4,9740.0,1
Suite,49,8,4,1,mid,4,4,72053.0,0
Double,101,12,1,1,mid,0,1,31461.0,1
Deluxe,80,5,4,1,mid,0,3,27112.0,0
Double,63,10,1,0,low,2,4,20603.0,0
Double,55,1,3,1,high,0,2,4308.0,0
Suite,85,13,2,1,low,0,2,82629.0,0
Suite,91,9,3,1,low,0,3,63746.0,1
Double,59,11,2,1,low,2,3,28525.0,1
Suite,3,12,4,1,low,1,1,89757.0,0
Double,12,4,1,0,mid,4,5,9434.0,0
Deluxe,17,7,4,0,low,0,3,24841.0,1
Suite,55,13,3,1,mid,4,3,101959.0,1
Double,74,3,4,0,mid,0,1,9355.0,1
Deluxe,97,12,1,0,low,1,4,37263.0,0
Double,28,5,1,1,low,1,5,11348.0,0
Single,95,9,2,0,mid,0,4,13014.0,0
Single,80,8,2,1,mid,0,3,15150.0,1
Double,6,10,4,0,low,0,3,27211.0,0
Suite,42,12,4,0,low,0,1,83327.0,1
Single,36,5,2,0,low,1,0,7125.0,1
Double,107,3,4,0,low,0,3,8433.0,0
Deluxe,111,6,1,0,low,1,1,21526.0,0
Single,99,9,3,0,high,0,0,19156.0,1
Deluxe,63,11,1,1,low,0,4,37009.0,0
Double,59,11,3,0,low,1,2,26641.0,1
Suite,37,5,2,0,high,0,5,46627.0,1
Deluxe,93,14,2,1,mid,4,5,57398.0,1
Deluxe,10,2,2,0,mid,5,0,8124.0,1
Single,32,2,2,0,mid,0,4,3187.0,0
Double,16,1,4,0,high,0,2,3770.0,0
Suite,59,13,4,0,low,0,4,78356.0,0
Single,36,3,2,1,low,1,0,4511.0,0
Suite,23,9,2,1,high,0,2,91370.0,0
Double,45,12,3,0,high,3,3,44033.0,1
Deluxe,104,11,3,1,high,5,2,71339.0,1
Deluxe,67,14,1,0,low,0,3,42607.0,0
Double,99,1,3,0,high,1,0,4007.0,1
Double,110,6,4,0,low,0,0,14864.0,0
Deluxe,109,8,4,0,mid,0,3,38726.0,0
Single,42,10,3,0,high,0,2,21859.0,0
Deluxe,106,9,2,0,low,1,3,29920.0,0
Single,110,8,2,1,low,0,2,10790.0,0
Deluxe,116,5,3,0,mid,2,0,22852.0,0
Deluxe,42,2,2,0,high,0,4,10819.0,0
Single,27,7,1,0,low,1,0,8549.0,1
Suite,70,4,3,0,high,3,4,42700.0,1
Double,112,8,1,0,low,1,0,14735.0,0
Suite,108,12,4,0,mid,0,5,93900.0,1
Single,69,8,2,0,low,0,1,10343.0,0
Single,18,9,2,0,high,0,5,18285.0,0
Double,51,1,1,0,low,0,0,2141.0,0
Single,86,10,1,0,mid,3,2,13205.0,1
Double,67,7,4,0,low,0,2,17851.0,1
Deluxe,41,2,3,0,high,0,0,11976.0,0
Single,41,3,4,1,high,1,2,8034.0,0
Deluxe,7,11,4,1,low,0,1,49618.0,0
Single,34,13,1,0,low,2,2,15269.0,1
Single,80,8,2,0,low,0,2,10555.0,0
Deluxe,29,14,4,0,mid,0,1,59787.0,1
Suite,120,3,2,1,high,1,4,31160.0,1
Single,9,5,3,1,mid,0,3,10316.0,0
Double,71,14,3,1,mid,3,5,36649.0,0
Suite,60,3,3,0,mid,0,4,24572.0,1
Suite,100,10,4,0,mid,0,1,87322.0,1
Deluxe,107,4,4,0,low,0,1,16480.0,1
Double,65,5,3,1,low,0,5,13805.0,0
Double,76,7,3,1,low,0,1,19006.0,0
Deluxe,84,6,2,0,mid,0,0,24868.0,1
Deluxe,63,13,1,1,low,0,3,49988.0,0
Double,22,14,3,0,mid,3,5,33833.0,0
Single,51,8,1,0,low,0,1,9027.0,0
Single,29,8,3,0,mid,1,3,12734.0,0
Suite,56,1,2,1,low,0,2,8033.0,0
Double,74,4,4,0,mid,2,2,11681.0,1
Double,25,1,4,1,low,0,2,3095.0,0
Double,30,12,3,1,low,0,0,31896.0,0
Suite,99,4,3,0,low,0,2,27823.0,1
Single,45,5,2,1,mid,0,1,9398.0,1
Single,24,12,2,0,high,0,4,25013.0,0
Double,86,10,1,1,low,0,1,22581.0,0
Double,86,9,1,0,mid,2,5,20227.0,1
Deluxe,99,1,3,0,mid,0,0,4674.0,0
Double,91,8,4,1,mid,4,2,26074.0,1
Double,120,8,1,1,mid,0,1,24087.0,0
Suite,69,5,2,0,low,0,2,30023.0,0
Single,34,11,3,1,mid,0,4,20288.0,0
Deluxe,104,14,3,0,high,0,5,70570.0,0
Deluxe,32,4,3,1,high,2,4,28136.0,0
Double,35,5,3,1,low,0,3,13411.0,0
Suite,100,5,1,0,mid,2,3,34735.0,1
Double,106,12,2,1,low,0,5,29176.0,0
Suite,41,2,2,1,mid,0,5,18434.0,1
Double,88,13,1,0,low,0,4,25936.0,1
Deluxe,111,11,2,0,low,1,0,36232.0,1
Deluxe,96,7,2,0,mid,0,1,27083.0,1
Suite,0,9,4,0,high,3,1,102314.0,0
Double,80,13,2,0,low,0,1,26652.0,1
Double,20,11,4,1,mid,0,5,35572.0,1
Single,102,4,3,1,mid,1,0,7864.0,1
Double,8,1,3,0,high,0,5,3810.0,1
Suite,120,10,4,0,mid,2,4,84664.0,1
Single,21,3,4,1,low,0,3,4952.0,0
Suite,50,2,1,1,low,1,1,13148.0,1
Deluxe,28,14,2,0,mid,0,1,49784.0,0
Single,98,7,3,0,low,5,4,9630.0,1
Double,47,10,4,0,high,0,4,40457.0,0
Deluxe,90,4,1,0,high,2,3,20651.0,1
Double,8,2,2,0,high,0,3,7254.0,1
Single,54,1,1,0,low,1,4,1317.0,1
Deluxe,110,5,1,0,mid,2,4,18878.0,0
Deluxe,112,1,4,0,mid,2,4,5055.0,1
Single,25,6,1,0,low,0,1,7359.0,1
Double,47,5,4,0,low,0,0,11933.0,0
Single,49,8,4,0,low,2,2,11490.0,1
Deluxe,68,9,4,1,low,0,2,40856.0,1
Deluxe,65,5,1,0,high,1,2,27582.0,1
Deluxe,12,7,1,0,high,0,3,37808.0,0
Suite,92,2,2,1,low,0,5,16165.0,0
Suite,27,5,3,1,mid,0,4,45910.0,0
Double,38,14,4,0,low,1,4,31431.0,1
Single,101,14,2,0,low,0,4,16718.0,1
Deluxe,83,7,1,0,low,0,2,22245.0,1
Suite,47,14,4,1,mid,2,3,119101.0,1
Suite,110,8,4,0,mid,0,2,65816.0,0
Single,47,2,3,0,high,2,4,4751.0,0
Single,68,13,3,1,high,0,5,29090.0,1
Single,29,6,4,1,low,0,2,10927.0,1
Single,22,9,2,0,mid,0,4,12182.0,0
Deluxe,59,10,1,0,low,0,0,30596.0,0
Deluxe,68,5,3,1,low,1,2,23022.0,0
Double,97,11,2,1,mid,0,5,31673.0,0
Double,47,8,4,1,low,0,4,22143.0,0
Suite,108,6,4,1,low,0,3,53124.0,0
Double,73,5,2,0,low,1,1,10774.0,0
Suite,8,11,2,1,low,2,4,65837.0,0
Suite,89,4,2,1,high,0,5,46570.0,0
Double,69,2,3,1,low,0,2,5114.0,1
Single,47,13,3,0,mid,0,4,19078.0,0
Suite,56,5,3,0,high,1,3,54256.0,0
Deluxe,36,9,3,0,mid,0,2,37534.0,1
Double,74,11,4,1,mid,0,1,36318.0,0
Deluxe,68,12,2,1,high,1,3,67481.0,0
Deluxe,54,9,1,0,low,0,2,29360.0,0
Suite,34,10,4,1,low,1,3,70683.0,0
Double,48,12,4,1,mid,0,0,40584.0,1
Suite,60,14,3,1,mid,3,2,111034.0,0
Suite,57,1,2,0,high,0,4,10987.0,0
Single,37,11,2,0,low,0,5,13059.0,0
Single,70,3,2,0,mid,0,1,5221.0,1
Deluxe,27,13,1,1,mid,0,3,50104.0,0
Single,60,1,3,1,high,1,1,2459.0,1
Double,14,4,2,0,low,0,4,8924.0,0
Double,57,3,2,0,low,0,2,7164.0,1
Suite,94,9,3,1,high,1,4,108507.0,1
Suite,98,1,4,1,mid,0,2,10562.0,0
Single,84,1,1,0,low,1,1,1327.0,1
Suite,90,8,4,0,low,1,3,52641.0,0
Single,7,14,3,1,high,0,3,34163.0,0
Deluxe,41,8,4,1,mid,1,4,42635.0,0
Suite,79,7,2,1,mid,2,4,55176.0,1
Suite,96,10,4,1,high,2,4,123729.0,1
Single,70,8,3,0,low,0,5,10973.0,1
Suite,103,6,3,1,low,0,2,48446.0,0
Single,33,9,3,1,mid,3,3,16142.0,0
Deluxe,18,1,2,0,high,0,2,5668.0,1
Double,10,4,3,0,low,0,3,9230.0,0
Double,70,10,4,0,mid,0,0,30886.0,0
Single,80,5,4,0,low,1,5,7345.0,0
Suite,34,1,1,0,low,1,3,6336.0,0
Double,94,2,3,1,high,3,3,8455.0,0
Deluxe,89,13,4,0,low,3,5,49453.0,1
Double,43,5,3,1,low,0,2,13785.0,1
Double,28,1,2,1,high,1,2,4450.0,1
Suite,89,11,2,1,low,0,3,77141.0,0
Single,81,8,3,0,low,0,5,11049.0,0
Deluxe,20,7,3,0,high,0,1,40110.0,1
Deluxe,30,13,2,0,low,3,0,45421.0,0
Double,58,5,2,1,mid,0,0,14429.0,0
Double,61,9,2,0,low,0,4,16848.0,0
Single,20,11,1,0,low,0,0,11450.0,1
Suite,114,9,1,1,mid,0,4,61271.0,0
Suite,47,3,1,1,low,0,5,20716.0,0
Single,46,10,2,0,high,0,4,22105.0,0
Single,7,11,3,1,high,0,1,24016.0,0
Single,105,2,2,0,high,0,3,4161.0,1
Single,28,3,4,0,low,2,2,4669.0,0
Suite,119,10,1,0,low,1,0,58329.0,1
Suite,60,2,2,1,high,2,1,22324.0,1
Single,105,13,1,0,mid,0,4,17667.0,1
Deluxe,21,2,2,0,mid,0,3,8447.0,0
Single,20,14,3,1,high,0,2,37192.0,0
Double,96,10,2,0,low,4,4,21035.0,1
Deluxe,99,7,2,0,low,0,3,24591.0,0
Deluxe,65,4,3,0,mid,0,5,18079.0,0
Suite,3,5,4,1,mid,3,0,46920.0,0
Single,114,11,1,1,low,3,1,15205.0,0
Single,47,11,1,1,mid,0,1,16088.0,0
Double,113,3,1,0,high,1,2,8929.0,1
Double,105,8,3,1,low,0,5,20932.0,1
Suite,103,14,4,1,low,0,2,107558.0,0
Suite,83,4,1,1,mid,0,1,30327.0,0
Double,81,10,1,1,high,4,0,35649.0,1
Suite,64,3,3,1,high,0,2,34800.0,0
Double,2,12,4,0,low,1,1,32601.0,1
Deluxe,46,3,3,0,high,0,1,19016.0,0
Double,88,5,4,1,high,1,0,23124.0,1
Single,98,7,3,0,mid,1,3,11546.0,1
Suite,67,6,1,1,low,1,4,36285.0,1
Single,85,3,2,1,low,3,4,4342.0,1
Single,2,9,4,0,mid,1,0,16838.0,1
Single,56,1,3,1,low,1,5,1745.0,0
Double,61,14,1,0,low,0,3,26613.0,0
Single,107,1,1,1,high,5,3,2286.0,1
Single,37,5,3,0,low,0,5,7364.0,0
Deluxe,27,14,2,0,high,0,1,76080.0,0
Suite,42,3,3,1,mid,0,3,27332.0,0
Single,20,2,2,0,high,0,0,4397.0,0
Double,67,11,2,0,low,0,2,22484.0,0
Deluxe,77,2,3,0,mid,0,1,9129.0,0
Suite,96,13,1,1,mid,0,1,92873.0,0
Deluxe,117,7,2,0,high,3,3,41643.0,1
Suite,8,13,2,0,low,3,0,76878.0,1
Deluxe,29,4,4,0,low,0,5,17033.0,1
Double,36,2,3,1,high,4,1,8712.0,1
Single,30,14,2,0,low,0,0,16019.0,0
Suite,100,11,2,0,mid,0,2,76302.0,0
Suite,16,13,1,1,low,3,2,83146.0,1
Single,3,5,1,0,low,1,3,6647.0,0
Deluxe,104,6,2,1,mid,1,4,24845.0,0
Single,116,9,4,0,mid,0,3,17285.0,0
Deluxe,27,7,1,1,mid,0,3,30899.0,0
Suite,40,4,1,0,mid,0,4,28394.0,1
Single,60,6,3,1,mid,4,3,10413.0,0
Double,63,9,1,1,high,0,0,31756.0,0
Single,119,1,4,0,low,0,2,1646.0,0
Deluxe,48,5,4,0,low,0,4,19048.0,0
Suite,1,5,4,0,low,1,1,33330.0,0
Single,51,1,2,0,high,0,5,2224.0,1
Double,67,2,2,1,low,1,2,5213.0,1
Suite,62,7,2,0,mid,0,1,53330.0,1
Double,61,2,1,1,mid,0,2,5647.0,0
Single,111,5,3,0,mid,0,3,8316.0,0
Double,97,8,4,1,high,0,4,37056.0,0
Deluxe,30,13,2,1,mid,1,1,59771.0,0
Deluxe,42,2,1,1,mid,2,1,8785.0,0
Double,80,7,3,1,low,0,0,19534.0,0
Suite,49,2,2,1,mid,0,2,16765.0,0
Deluxe,51,7,4,1,low,0,5,31929.0,0
Double,20,7,4,1,high,2,5,32730.0,0
Suite,30,12,4,0,low,4,3,82127.0,1
Suite,89,7,2,1,low,1,3,49399.0,0
Double,101,14,4,1,low,0,3,34914.0,0
Single,94,2,1,1,mid,0,1,3096.0,1
Deluxe,37,1,2,1,high,5,2,6644.0,1
Deluxe,16,1,2,0,low,0,5,3850.0,0
Single,19,5,4,0,low,1,3,7759.0,0
Deluxe,47,3,3,0,mid,3,1,13807.0,0
Suite,62,2,2,0,high,1,0,20201.0,0
Single,108,4,1,0,high,1,4,7978.0,1
Deluxe,108,14,4,0,low,0,5,48799.0,0
Single,0,12,3,1,mid,3,0,24425.0,1
Deluxe,85,1,4,1,high,0,2,8026.0,1
Double,36,13,2,1,high,3,5,47102.0,1
Single,23,3,1,0,mid,0,1,4506.0,0
Suite,67,6,2,0,mid,1,1,39394.0,0
Single,4,5,3,1,mid,3,2,9691.0,1
Deluxe,40,6,1,0,low,0,2,19251.0,0
Single,66,11,1,1,low,0,2,15430.0,0
Suite,32,10,4,1,low,0,5,76444.0,0
Deluxe,71,9,3,1,low,2,5,39186.0,0
Suite,55,9,2,0,low,1,3,52167.0,0
Double,96,11,3,1,high,0,0,39477.0,1
Double,21,3,3,1,high,2,1,13087.0,0
Deluxe,6,6,1,0,low,3,1,19571.0,0
Suite,64,2,2,0,low,2,0,12819.0,1
Suite,31,10,2,1,mid,1,2,79772.0,1
Single,85,7,1,0,mid,4,0,9620.0,1
Deluxe,11,9,1,1,low,2,3,31851.0,0
Single,69,8,2,0,high,0,1,15355.0,0
Double,119,4,3,1,low,5,4,9901.0,1
Suite,11,2,3,0,low,0,3,13593.0,0
Double,36,14,4,0,mid,3,5,36351.0,1
Suite,102,5,2,0,mid,1,2,38247.0,0
Double,64,2,3,0,low,1,0,4348.0,1
Single,21,5,4,0,mid,0,5,9058.0,0
Double,25,13,3,1,high,0,1,56969.0,0
Deluxe,92,4,4,0,low,0,4,16209.0,0
Suite,104,14,1,0,mid,1,4,85248.0,1
Deluxe,43,7,4,0,low,2,5,28333.0,0
Suite,57,13,3,1,mid,0,3,109522.0,0
Suite,94,10,3,1,mid,0,3,83240.0,1
Suite,21,1,1,1,low,1,2,6498.0,0
Deluxe,24,8,3,0,low,0,2,30301.0,0
Double,93,6,4,1,high,0,4,24816.0,1
Double,22,3,3,0,low,0,3,7549.0,0
Single,93,8,1,1,high,1,0,16986.0,1
Double,60,2,2,0,low,0,2,4545.0,0
Suite,119,10,3,1,high,2,5,111703.0,1
Double,3,12,4,1,mid,0,1,40798.0,0
Single,114,2,2,0,low,0,2,2760.0,1
Deluxe,27,7,4,1,mid,1,5,36929.0,0
Suite,4,10,4,0,high,5,1,104768.0,0
Suite,87,1,2,1,mid,0,4,8630.0,1
Double,64,6,1,1,mid,2,4,18351.0,0
Double,101,4,4,1,mid,1,1,12921.0,0
Deluxe,13,1,3,1,mid,3,5,5625.0,1
Single,9,12,4,0,mid,0,2,20429.0,0
Double,68,7,4,0,high,0,1,29657.0,0
Single,106,11,2,1,low,0,1,16170.0,1
Suite,49,9,1,0,mid,1,1,57970.0,0
Deluxe,96,13,4,0,mid,2,3,59636.0,1
Suite,109,14,3,0,high,0,1,135051.0,1
Suite,105,9,1,1,low,0,2,58795.0,1
Suite,61,5,3,0,low,0,4,35495.0,0
Single,84,6,1,0,low,0,5,7301.0,0
Suite,63,12,2,0,mid,3,4,79028.0,1
Single,81,6,2,0,mid,0,3,8937.0,1
Double,68,8,2,1,low,1,4,20078.0,1
Deluxe,63,3,3,1,low,0,2,12749.0,0
Double,52,14,4,1,high,2,1,57594.0,1
Single,78,10,2,1,mid,2,4,16133.0,0
Single,90,5,3,0,mid,0,0,8564.0,1
Suite,111,9,4,1,low,1,5,67611.0,1
Double,74,6,3,0,low,2,2,13147.0,1
Double,12,3,2,0,low,3,4,6373.0,1
Suite,71,13,3,0,low,0,0,76704.0,1
Single,38,13,2,0,mid,0,2,18088.0,0
Suite,3,12,2,1,low,0,2,79916.0,0
Suite,8,6,3,0,low,1,2,39023.0,1
Deluxe,71,4,2,1,low,0,3,16688.0,0
Single,114,1,1,0,low,4,3,1304.0,1
Single,61,11,4,0,low,0,5,16231.0,0
Double,53,5,3,0,low,3,4,10703.0,0
Deluxe,10,13,1,0,low,0,1,36704.0,0
Single,81,13,2,0,mid,0,5,19047.0,0
Double,6,2,2,1,high,0,2,8387.0,0
Single,101,13,4,1,mid,1,2,25665.0,1
Deluxe,98,2,4,1,low,2,0,8859.0,1
Single,119,7,3,0,high,0,4,15089.0,1
Deluxe,34,7,2,1,high,0,5,43477.0,1
Single,19,14,1,1,mid,3,1,21185.0,1
Single,36,10,1,0,low,0,5,11623.0,0
Single,96,13,1,1,mid,0,0,20197.0,0
Suite,26,9,4,1,high,2,5,110939.0,1
Single,107,12,1,1,high,0,1,26578.0,0
Double,18,12,3,0,mid,0,2,33591.0,0
Deluxe,5,13,4,0,mid,0,0,53571.0,1
Deluxe,26,6,2,0,high,1,5,33317.0,0
